697,350,537,157,20,39
698,350,536,143,19,40
699,350,533,130,20,44
700,350,529,121,21,41
701,350,525,113,23,38
702,350,521,104,23,39
703,350,518,96,21,39
704,350,513,86,22,44
705,350,509,80,20,42
706,350,504,71,21,44
707,350,497,65,22,44
708,350,491,61,19,42
709,350,487,55,17,44
710,350,481,51,15,43
711,350,474,49,14,29
712,350,467,45,17,42
713,350,459,42,21,38
714,350,451,41,24,40
715,350,443,39,29,40
716,350,437,39,31,39
717,350,430,39,34,38
718,350,424,39,36,36
719,350,418,44,38,31
720,350,413,45,39,31
721,350,408,47,40,30
722,350,402,49,40,29
723,350,397,52,40,28
724,350,392,54,44,32
725,350,385,56,47,33
726,350,379,61,48,38
727,350,373,68,48,39
728,350,365,79,49,38
729,350,357,89,51,39
730,350,351,97,50,43
731,350,341,113,58,38
732,350,333,124,60,39
733,350,325,136,63,39
734,350,314,143,69,47
735,350,304,147,71,56
736,350,289,168,94,61
737,350,272,175,111,74
738,350,257,185,120,82
739,350,244,197,124,87
740,350,230,214,124,89
741,350,211,232,129,94
742,350,192,239,154,113
743,350,162,259,171,123
744,350,136,283,184,132
745,350,115,313,196,140
746,350,88,347,200,146
747,350,74,387,207,155
748,350,76,433,219,165
749,350,64,485,229,177
750,350,52,544,245,195
751,350,39,615,267,217
752,350,11,679,316,264
753,350,-6,808,311,259
754,350,-10,942,281,229
