543,315,551,48,22,20
544,315,554,46,20,18
545,315,555,45,21,26
546,315,558,47,20,25
547,315,559,49,24,23
548,315,561,50,23,27
549,315,562,53,22,30
550,315,565,58,23,30
551,315,566,65,26,29
552,315,568,77,28,24
553,315,568,82,30,30
554,315,573,90,28,32
555,315,577,101,26,34
556,315,577,113,30,34
557,315,577,100,46,65
558,315,582,132,45,47
559,315,580,142,46,62
560,315,581,157,47,66
561,315,578,185,70,68
562,315,582,208,70,68
563,315,583,234,74,73
564,315,588,262,74,73
565,315,591,292,76,76
566,315,597,328,72,73
567,315,602,367,70,72
568,315,600,407,79,81
569,315,604,451,87,89
570,315,610,499,96,97
571,315,619,555,103,101
572,315,627,617,114,108
573,315,622,691,119,112
574,315,618,770,129,123
575,315,619,856,147,139
576,315,616,954,160,153
577,315,622,1066,172,167
578,315,624,1195,189,185
579,315,621,1340,211,212
580,315,636,1470,209,212
