51,2,397,261,71,47
52,2,392,280,68,47
53,2,385,298,72,53
54,2,380,308,68,63
55,2,375,321,69,70
56,2,369,337,31,74
57,2,361,353,51,79
58,2,357,368,70,81
59,2,352,386,70,83
60,2,345,405,56,84
61,2,338,425,70,88
62,2,326,449,60,84
63,2,319,479,56,82
64,2,313,511,51,79
65,2,313,536,58,82
66,2,309,567,61,82
67,2,305,602,64,79
68,2,293,640,54,75
69,2,288,679,59,73
70,2,277,718,62,76
71,2,265,757,65,80
72,2,249,802,63,84
73,2,236,854,67,95
74,2,223,910,69,104
75,2,211,970,70,111
76,2,201,1038,71,115
77,2,194,1111,70,117
78,2,185,1187,64,110
79,2,176,1270,60,107
80,2,166,1320,60,108
